"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"09.02.2021","1,2117","1,2048","1,2122","1,2045","","0,57%"
"10.02.2021","1,2116","1,2119","1,2145","1,2108","","-0,01%"
"11.02.2021","1,2128","1,2118","1,2150","1,2112","","0,10%"
"12.02.2021","1,2118","1,2130","1,2135","1,2081","","-0,08%"
"15.02.2021","1,2127","1,2123","1,2146","1,2116","","0,07%"
"16.02.2021","1,2104","1,2130","1,2170","1,2095","","-0,19%"
"17.02.2021","1,2036","1,2107","1,2111","1,2023","","-0,56%"
"18.02.2021","1,2088","1,2037","1,2096","1,2035","","0,43%"
"19.02.2021","1,2117","1,2091","1,2145","1,2082","","0,24%"
"22.02.2021","1,2154","1,2117","1,2170","1,2091","","0,31%"
"23.02.2021","1,2149","1,2155","1,2181","1,2135","","-0,04%"
"24.02.2021","1,2164","1,2150","1,2176","1,2109","","0,12%"
"25.02.2021","1,2176","1,2163","1,2243","1,2155","","0,10%"
"26.02.2021","1,2074","1,2176","1,2185","1,2062","","-0,84%"
"01.03.2021","1,2047","1,2079","1,2102","1,2027","","-0,22%"
"02.03.2021","1,2089","1,2049","1,2095","1,1991","","0,35%"
"03.03.2021","1,2062","1,2091","1,2113","1,2042","","-0,22%"
"04.03.2021","1,1966","1,2063","1,2068","1,1961","","-0,80%"
"05.03.2021","1,1917","1,1968","1,1978","1,1894","","-0,41%"
"08.03.2021","1,1843","1,1922","1,1933","1,1844","","-0,62%"
"09.03.2021","1,1898","1,1847","1,1917","1,1835","","0,46%"
"10.03.2021","1,1925","1,1900","1,1931","1,1868","","0,23%"
"11.03.2021","1,1984","1,1928","1,1990","1,1916","","0,49%"
"12.03.2021","1,1952","1,1983","1,1990","1,1910","","-0,27%"
"15.03.2021","1,1928","1,1952","1,1968","1,1911","","-0,20%"
"16.03.2021","1,1900","1,1929","1,1953","1,1882","","-0,23%"
"17.03.2021","1,1978","1,1906","1,1986","1,1885","","0,66%"
"18.03.2021","1,1915","1,1979","1,1990","1,1906","","-0,53%"
"19.03.2021","1,1903","1,1915","1,1939","1,1874","","-0,10%"
"22.03.2021","1,1931","1,1899","1,1947","1,1871","","0,24%"
"23.03.2021","1,1849","1,1935","1,1941","1,1841","","-0,69%"
"24.03.2021","1,1812","1,1851","1,1854","1,1809","","-0,31%"
"25.03.2021","1,1764","1,1813","1,1829","1,1761","","-0,41%"
"26.03.2021","1,1796","1,1763","1,1805","1,1763","","0,27%"
"29.03.2021","1,1762","1,1795","1,1797","1,1760","","-0,29%"
"30.03.2021","1,1714","1,1764","1,1774","1,1711","","-0,41%"
"31.03.2021","1,1728","1,1716","1,1760","1,1703","","0,12%"
"01.04.2021","1,1775","1,1731","1,1781","1,1712","","0,40%"
"02.04.2021","1,1762","1,1777","1,1788","1,1748","","-0,11%"
"05.04.2021","1,1811","1,1761","1,1820","1,1738","","0,42%"
"06.04.2021","1,1875","1,1814","1,1878","1,1795","","0,54%"
"07.04.2021","1,1870","1,1875","1,1916","1,1861","","-0,04%"
"08.04.2021","1,1912","1,1867","1,1928","1,1861","","0,35%"
"09.04.2021","1,1896","1,1913","1,1921","1,1867","","-0,13%"
"12.04.2021","1,1909","1,1891","1,1920","1,1870","","0,11%"
"13.04.2021","1,1946","1,1911","1,1956","1,1878","","0,31%"
"14.04.2021","1,1978","1,1948","1,1988","1,1947","","0,27%"
"15.04.2021","1,1965","1,1980","1,1995","1,1955","","-0,11%"
"16.04.2021","1,1983","1,1967","1,1996","1,1950","","0,15%"
"19.04.2021","1,2033","1,1984","1,2049","1,1942","","0,42%"
"20.04.2021","1,2033","1,2036","1,2081","1,2022","","0,00%"
"21.04.2021","1,2033","1,2037","1,2045","1,1998","","0,00%"
"22.04.2021","1,2015","1,2035","1,2070","1,1993","","-0,15%"
"23.04.2021","1,2099","1,2015","1,2100","1,2012","","0,70%"
"26.04.2021","1,2083","1,2093","1,2118","1,2061","","-0,13%"
"27.04.2021","1,2090","1,2086","1,2093","1,2056","","0,06%"
"28.04.2021","1,2123","1,2091","1,2135","1,2055","","0,27%"
"29.04.2021","1,2118","1,2126","1,2150","1,2102","","-0,04%"
"30.04.2021","1,2018","1,2116","1,2127","1,2016","","-0,83%"
"03.05.2021","1,2061","1,2031","1,2076","1,2012","","0,36%"
"04.05.2021","1,2013","1,2064","1,2066","1,1998","","-0,40%"
"05.05.2021","1,2005","1,2013","1,2027","1,1985","","-0,07%"
"06.05.2021","1,2064","1,2005","1,2072","1,1992","","0,49%"
"07.05.2021","1,2163","1,2066","1,2172","1,2053","","0,82%"
"10.05.2021","1,2129","1,2161","1,2178","1,2127","","-0,28%"
"11.05.2021","1,2146","1,2129","1,2182","1,2122","","0,14%"
"12.05.2021","1,2069","1,2148","1,2153","1,2065","","-0,63%"
"13.05.2021","1,2078","1,2073","1,2108","1,2050","","0,07%"
"14.05.2021","1,2140","1,2080","1,2150","1,2070","","0,51%"
"17.05.2021","1,2151","1,2140","1,2170","1,2126","","0,09%"
"18.05.2021","1,2220","1,2153","1,2234","1,2151","","0,57%"
"19.05.2021","1,2172","1,2222","1,2246","1,2160","","-0,39%"
"20.05.2021","1,2226","1,2171","1,2230","1,2169","","0,44%"
"21.05.2021","1,2179","1,2228","1,2241","1,2161","","-0,38%"
"24.05.2021","1,2215","1,2178","1,2230","1,2172","","0,30%"
"25.05.2021","1,2250","1,2217","1,2267","1,2211","","0,29%"
"26.05.2021","1,2190","1,2251","1,2263","1,2182","","-0,49%"
"27.05.2021","1,2192","1,2192","1,2216","1,2175","","0,02%"
"28.05.2021","1,2189","1,2195","1,2205","1,2132","","-0,02%"
"31.05.2021","1,2225","1,2192","1,2233","1,2183","","0,30%"
"01.06.2021","1,2211","1,2227","1,2255","1,2211","","-0,11%"
"02.06.2021","1,2209","1,2214","1,2227","1,2163","","-0,02%"
"03.06.2021","1,2124","1,2210","1,2217","1,2118","","-0,70%"
"04.06.2021","1,2165","1,2129","1,2186","1,2104","","0,34%"
"07.06.2021","1,2189","1,2168","1,2203","1,2145","","0,20%"
"08.06.2021","1,2171","1,2190","1,2196","1,2163","","-0,15%"
"09.06.2021","1,2178","1,2173","1,2219","1,2170","","0,06%"
"10.06.2021","1,2169","1,2181","1,2195","1,2142","","-0,07%"
"11.06.2021","1,2106","1,2170","1,2196","1,2092","","-0,52%"
"14.06.2021","1,2118","1,2110","1,2131","1,2093","","0,10%"
"15.06.2021","1,2124","1,2120","1,2149","1,2100","","0,05%"
"16.06.2021","1,1994","1,2127","1,2135","1,1993","","-1,07%"
"17.06.2021","1,1906","1,1996","1,2007","1,1891","","-0,73%"
"18.06.2021","1,1860","1,1908","1,1926","1,1846","","-0,39%"
"21.06.2021","1,1915","1,1868","1,1922","1,1847","","0,46%"
"22.06.2021","1,1938","1,1918","1,1954","1,1881","","0,19%"
"23.06.2021","1,1925","1,1939","1,1970","1,1911","","-0,11%"
"24.06.2021","1,1930","1,1927","1,1957","1,1918","","0,04%"
"25.06.2021","1,1933","1,1932","1,1976","1,1925","","0,03%"
"28.06.2021","1,1924","1,1935","1,1946","1,1902","","-0,08%"
"29.06.2021","1,1895","1,1926","1,1932","1,1877","","-0,24%"
"30.06.2021","1,1855","1,1897","1,1910","1,1845","","-0,34%"
"01.07.2021","1,1848","1,1859","1,1885","1,1837","","-0,06%"
"02.07.2021","1,1864","1,1849","1,1875","1,1806","","0,14%"
"05.07.2021","1,1861","1,1862","1,1882","1,1851","","-0,03%"
"06.07.2021","1,1822","1,1863","1,1896","1,1806","","-0,33%"
"07.07.2021","1,1789","1,1823","1,1839","1,1782","","-0,28%"
"08.07.2021","1,1842","1,1792","1,1868","1,1783","","0,45%"
"09.07.2021","1,1873","1,1844","1,1882","1,1825","","0,26%"
"12.07.2021","1,1859","1,1872","1,1881","1,1836","","-0,12%"
"13.07.2021","1,1774","1,1862","1,1876","1,1772","","-0,72%"
"14.07.2021","1,1835","1,1776","1,1839","1,1772","","0,52%"
"15.07.2021","1,1812","1,1837","1,1852","1,1796","","-0,19%"
"16.07.2021","1,1805","1,1814","1,1823","1,1791","","-0,06%"
"19.07.2021","1,1798","1,1808","1,1825","1,1763","","-0,06%"
"20.07.2021","1,1779","1,1801","1,1805","1,1755","","-0,16%"
"21.07.2021","1,1792","1,1782","1,1805","1,1752","","0,11%"
"22.07.2021","1,1770","1,1793","1,1831","1,1757","","-0,19%"
"23.07.2021","1,1771","1,1769","1,1788","1,1753","","0,01%"
"26.07.2021","1,1799","1,1778","1,1818","1,1763","","0,24%"
"27.07.2021","1,1814","1,1804","1,1841","1,1769","","0,13%"
"28.07.2021","1,1842","1,1817","1,1851","1,1773","","0,24%"
"29.07.2021","1,1886","1,1845","1,1894","1,1840","","0,37%"
"30.07.2021","1,1870","1,1888","1,1910","1,1851","","-0,13%"
"02.08.2021","1,1867","1,1864","1,1897","1,1858","","-0,03%"
"03.08.2021","1,1860","1,1868","1,1894","1,1853","","-0,06%"
"04.08.2021","1,1835","1,1864","1,1901","1,1832","","-0,21%"
"05.08.2021","1,1832","1,1837","1,1858","1,1827","","-0,03%"
"06.08.2021","1,1760","1,1834","1,1837","1,1753","","-0,61%"
"09.08.2021","1,1737","1,1762","1,1769","1,1734","","-0,20%"
"10.08.2021","1,1718","1,1738","1,1744","1,1710","","-0,16%"
"11.08.2021","1,1737","1,1720","1,1753","1,1705","","0,16%"
"12.08.2021","1,1727","1,1738","1,1749","1,1724","","-0,09%"
